diputado_id,nombre,apellido_paterno,apellido_materno,opcion_codigo,opcion_voto,votacion_id,descripcion,fecha,total_si,total_no,total_abstencion,total_dispensado,quorum_codigo,quorum,resultado_codigo,resultado,tipo_codigo,tipo
917,Gastón,Von Mühlenbrock,Zamora,0,En Contra,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
948,Gaspar,Rivas,Sánchez,1,Afirmativo,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
953,Frank,Sauerbaum,Muñoz,0,En Contra,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
971,Bernardo,Berger,Fett,0,En Contra,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
973,Karol,Cariola,Oliva,1,Afirmativo,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
975,Daniella,Cicardini,Milla,1,Afirmativo,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
976,Juan Antonio,Coloma,Álamos,0,En Contra,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
990,Daniel,Melo,Contreras,1,Afirmativo,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
991,Vlado,Mirosevic,Verdugo,1,Afirmativo,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
999,Jorge,Rathgeb,Schifferli,0,En Contra,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
1002,Leonardo,Soto,Ferrada,1,Afirmativo,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
1003,Renzo,Trisotti,Martínez,0,En Contra,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
1009,Jorge,Alessandri,Vergara,0,En Contra,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
1012,Boris,Barrera,Moreno,1,Afirmativo,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
1013,Alejandro,Bernales,Maldonado,1,Afirmativo,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
1016,Miguel Ángel,Calisto,Águila,1,Afirmativo,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
1017,Álvaro,Carter,Fernández,0,En Contra,21219,Boletín N° 11092-07,2023-05-08 19:18:45,74,59,2,0,1,Quórum Simple,1,Aprobado,1,Proyecto de Ley
